scenario,restart,batch_delay_us,sample_interval,wall_seconds,sample_count,process_cpu_seconds,process_cpu_cores_used,tx_mpps_p50,tx_mpps_p95,reported_cpu_busy_pct_p50,mem_rss_kb_p50,sampler_overwritten_window_max
paced_sampler_off,1,1000,0,20.00011668400839,20,39.99,1.9994883345843197,0.06397591384134929,0.06454983565756146,19.992576321435465,17680.0,0.0
paced_sampler_10,1,1000,10,20.000120122916996,20,39.96,1.997987999792667,0.06389870784812601,0.06421869615352065,19.99185406962305,15830.0,0.0
unlimited_sampler_off,1,0,0,20.000149158760905,20,39.99,1.9994850879640917,0.42428529564716405,0.42625989843576095,19.98326027172778,17320.0,0.0
unlimited_sampler_10,1,0,10,20.000132966786623,20,40.0,1.999986703409738,0.4230004043471395,0.42362723160965965,19.992101733832452,21420.0,997.0
paced_sampler_off,2,1000,0,20.000150297302753,20,39.99,1.9994849741400746,0.06397459701785124,0.06460285095689569,19.994540777415708,24488.0,0.0
paced_sampler_10,2,1000,10,20.00012180674821,20,39.99,1.9994878224445132,0.0638830999045396,0.06438438717978301,19.990896113512406,22860.0,0.0
unlimited_sampler_off,2,0,0,20.00011628679931,20,39.98,1.9989883772019876,0.4226735240582508,0.4228470925605808,19.993249257843384,18872.0,0.0
unlimited_sampler_10,2,0,10,20.000115782022476,20,39.99,1.9994884247593132,0.4160117548898871,0.4171087614966951,19.99469882604038,21164.0,1007.0
paced_sampler_off,3,1000,0,20.00015319790691,20,39.99,1.9994846841565743,0.06398517729680521,0.06406036884381308,19.99292667682143,21372.0,0.0
paced_sampler_10,3,1000,10,20.000119945034385,20,39.99,1.9994880085671032,0.06420714508443712,0.06427799075453403,19.99299128393601,20824.0,0.0
unlimited_sampler_off,3,0,0,20.000106112100184,20,39.99,1.9994893914990688,0.4350002292069709,0.43554921709856,19.992276718044845,23240.0,0.0
unlimited_sampler_10,3,0,10,20.000103658996522,20,39.99,1.999489636745535,0.42940753667048653,0.42982507495747996,19.993535636042495,21416.0,1123.0
paced_sampler_off,4,1000,0,20.000139045063406,20,40.0,1.9999860955903264,0.06397844433026932,0.06407720460821369,19.994431237720455,26284.0,0.0
paced_sampler_10,4,1000,10,20.000135144684464,20,39.98,1.9989864923800618,0.06414163345352006,0.06427189550307702,19.99291868745243,22012.0,0.0
unlimited_sampler_off,4,0,0,20.000109050888568,20,39.98,1.998989100423118,0.42964830299591245,0.4323825647744743,19.993141324130754,22644.0,0.0
unlimited_sampler_10,4,0,10,20.0001173899509,20,40.0,1.9999882610738116,0.42979255313305925,0.4316966304817844,19.99361627930277,24704.0,1120.0
paced_sampler_off,5,1000,0,20.000107191037387,20,40.0,1.9999892809537105,0.06399457867751096,0.06410368446290714,19.993616657525223,18896.0,0.0
paced_sampler_10,5,1000,10,20.00010056840256,20,40.01,2.0004899406961165,0.06373034226514426,0.06432341596634371,19.99369216728406,24820.0,0.0
unlimited_sampler_off,5,0,0,20.00011119712144,20,40.0,1.9999888803496795,0.4378699632620866,0.4381455986761518,19.99271079603331,20356.0,0.0
unlimited_sampler_10,5,0,10,20.00011941511184,20,39.98,1.9989880645308353,0.4284773001249157,0.430686030752345,19.995060081701368,23136.0,1069.0
